,City,Latitude,Longitude,Maximum_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
334,pisco,-13.7,-76.2167,64.45,77.0,0.0,19.57,PE,1627430301.0
335,sandakan,5.8402,118.1179,80.11,81.0,86.0,5.14,MY,1627430447.0
336,dubuque,42.4833,-90.8668,88.5,55.0,5.0,10.18,US,1627430448.0
337,la crosse,43.8014,-91.2396,85.91,83.0,25.0,2.51,US,1627430211.0
338,tessalit,20.1986,1.0114,88.2,42.0,94.0,15.17,ML,1627430451.0
339,mirebalais,18.8333,-72.1053,77.81,84.0,79.0,4.09,HT,1627430452.0
340,sorland,67.667,12.6934,54.79,88.0,6.0,11.3,NO,1627430454.0
341,sancel,46.2,23.95,68.63,58.0,28.0,2.71,RO,1627430455.0
342,portland,45.5234,-122.6762,91.63,39.0,75.0,1.01,US,1627429907.0
343,chagda,,,,,,,,
344,wladyslawowo,54.7909,18.4009,64.94,84.0,58.0,8.93,PL,1627430459.0
345,luderitz,-26.6481,15.1594,55.35,74.0,0.0,9.22,NA,1627430460.0
346,hermiston,45.8404,-119.2895,84.0,14.0,90.0,18.12,US,1627430345.0
347,pimenta bueno,-11.6725,-61.1936,81.7,45.0,41.0,8.41,BR,1627430463.0
348,saleaula,,,,,,,,
349,kudat,6.8837,116.8477,82.13,77.0,85.0,7.65,MY,1627430465.0
350,champerico,14.3,-91.9167,86.54,75.0,40.0,4.94,GT,1627430361.0
351,nanortalik,60.1432,-45.2371,45.77,78.0,62.0,3.67,GL,1627430231.0
352,souillac,-20.5167,57.5167,68.36,90.0,100.0,15.32,MU,1627430464.0
353,tabuk,17.4189,121.4443,80.76,79.0,100.0,0.69,PH,1627430363.0
354,marawi,7.9986,124.2928,75.65,67.0,87.0,7.74,PH,1627430471.0
355,coquimbo,-29.9533,-71.3436,53.33,87.0,0.0,4.61,CL,1627430313.0
356,nabire,-3.3667,135.4833,82.4,74.0,100.0,2.3,ID,1627430473.0
357,kota kinabalu,5.9749,116.0724,82.38,83.0,20.0,5.75,MY,1627430405.0
358,ljungby,56.8332,13.9408,59.79,95.0,86.0,5.03,SE,1627430476.0
359,majene,-3.5403,118.9707,78.87,79.0,67.0,8.7,ID,1627430477.0
360,dire dawa,9.5931,41.8661,67.95,71.0,100.0,14.14,ET,1627430478.0
361,heihe,50.2441,127.4902,73.98,81.0,70.0,11.39,CN,1627430480.0
362,riemst,50.8098,5.6044,63.03,87.0,90.0,10.36,BE,1627430481.0
363,parana,-31.732,-60.5238,50.58,42.0,15.0,8.1,AR,1627430348.0
364,bournemouth,50.7205,-1.8795,62.42,92.0,61.0,1.99,GB,1627430272.0
365,birao,10.2849,22.7882,70.63,95.0,100.0,6.58,CF,1627430442.0
366,pochutla,15.7432,-96.4661,81.82,82.0,99.0,2.33,MX,1627430486.0
367,roccastrada,43.0099,11.1665,72.77,96.0,47.0,2.13,IT,1627430487.0
368,viedma,-40.8135,-62.9967,44.91,68.0,95.0,20.2,AR,1627430419.0
369,thinadhoo,0.5333,72.9333,81.88,74.0,100.0,7.7,MV,1627430490.0
370,tsihombe,,,,,,,,
371,escanaba,45.7453,-87.0646,78.67,87.0,43.0,1.01,US,1627430492.0
372,port hedland,-20.3167,118.5667,64.45,100.0,9.0,0.0,AU,1627430253.0
373,peleduy,59.6289,112.7406,79.65,45.0,0.0,6.6,RU,1627430494.0
374,politika,38.6,23.55,85.19,40.0,0.0,5.59,GR,1627430496.0
375,nantucket,41.2835,-70.0995,79.97,87.0,3.0,14.27,US,1627430204.0
376,nizwa,22.9333,57.5333,91.69,40.0,100.0,3.6,OM,1627430498.0
377,banamba,13.55,-7.45,78.78,73.0,59.0,5.19,ML,1627430500.0
378,bilma,18.6853,12.9164,86.29,50.0,75.0,10.2,NE,1627430461.0
379,taltal,-25.4,-70.4833,56.75,77.0,10.0,2.46,CL,1627430502.0
380,goya,-29.14,-59.2626,44.82,37.0,0.0,4.34,AR,1627430503.0
381,morro bay,35.3658,-120.8499,92.19,66.0,17.0,4.0,US,1627430298.0
382,hualmay,-11.0964,-77.6139,64.24,84.0,37.0,11.23,PE,1627430279.0
383,nusaybin,37.0778,41.2178,84.07,30.0,0.0,6.17,TR,1627430507.0
384,san policarpo,12.1791,125.5072,84.63,67.0,96.0,12.06,PH,1627430508.0
385,torshavn,62.0097,-6.7716,52.99,95.0,99.0,1.68,FO,1627430510.0
386,vila franca do campo,37.7167,-25.4333,68.41,87.0,12.0,8.05,PT,1627430430.0
387,cascais,38.6979,-9.4215,67.46,74.0,0.0,17.0,PT,1627430512.0
388,scottsboro,34.6723,-86.0341,87.82,94.0,1.0,0.0,US,1627430513.0
389,newport,51.5877,-2.9984,62.85,90.0,90.0,8.05,GB,1627430515.0
390,mosquera,4.7059,-74.2302,53.49,93.0,84.0,0.47,CO,1627430516.0
391,santa fe,-31.6333,-60.7,51.03,38.0,8.0,5.99,AR,1627430234.0
392,aklavik,68.2191,-135.0107,63.34,61.0,100.0,5.82,CA,1627430508.0
393,louisbourg,,,,,,,,
394,auki,-8.7676,160.7034,84.81,64.0,67.0,4.45,SB,1627430311.0
395,bourail,-21.5667,165.4833,72.07,50.0,0.0,5.7,NC,1627430453.0
396,broken hill,-31.95,141.4333,60.06,49.0,57.0,22.28,AU,1627430523.0
397,mayo,38.8876,-76.5119,89.08,70.0,0.0,1.01,US,1627430525.0
398,codrington,-38.2667,141.9667,50.14,77.0,42.0,21.25,AU,1627430526.0
399,bubaque,11.2833,-15.8333,80.17,81.0,98.0,9.42,GW,1627430527.0
400,sindor,62.8629,51.8905,43.21,97.0,100.0,7.49,RU,1627430529.0
401,margate,51.3813,1.3862,63.3,86.0,29.0,1.99,GB,1627430177.0
402,taitung,22.7583,121.1444,86.27,62.0,40.0,3.44,TW,1627430531.0
403,umzimvubu,,,,,,,,
404,fort nelson,58.8053,-122.7002,65.79,72.0,75.0,2.3,CA,1627430188.0
405,beringovskiy,63.05,179.3167,49.46,92.0,100.0,9.01,RU,1627430523.0
406,takoradi,4.8845,-1.7554,75.06,84.0,95.0,9.53,GH,1627430526.0
407,leshukonskoye,64.8989,45.7622,37.89,98.0,27.0,4.27,RU,1627430531.0
408,aasiaat,68.7098,-52.8699,43.36,81.0,100.0,5.01,GL,1627430538.0
409,adrar,20.5022,-10.0711,89.73,26.0,100.0,13.53,MR,1627430421.0
410,moron,-34.6534,-58.6198,48.96,57.0,39.0,5.01,AR,1627430540.0
411,katobu,-4.9408,122.5276,79.99,80.0,54.0,5.03,ID,1627430542.0
412,griffith,41.5284,-87.4237,88.07,59.0,1.0,1.99,US,1627430292.0
413,aljezur,37.3191,-8.8033,64.87,77.0,0.0,13.58,PT,1627430544.0
414,zhigansk,66.7697,123.3711,55.8,60.0,28.0,14.72,RU,1627430275.0
415,ishigaki,24.3448,124.1572,82.72,84.0,100.0,4.9,JP,1627430547.0
416,kavaratti,10.5669,72.642,81.7,78.0,100.0,19.93,IN,1627430548.0
417,kavieng,-2.5744,150.7967,85.59,68.0,15.0,10.13,PG,1627430211.0
418,yenagoa,4.9247,6.2642,73.17,87.0,96.0,4.18,NG,1627430550.0
419,sambava,-14.2667,50.1667,66.2,84.0,48.0,9.78,MG,1627430552.0
420,archidona,37.0965,-4.3887,74.43,55.0,0.0,4.52,ES,1627430553.0
421,la ronge,55.1001,-105.2842,79.02,41.0,40.0,5.75,CA,1627430323.0
422,paracatu,-17.2222,-46.8747,67.42,37.0,5.0,2.3,BR,1627430555.0
423,rio grande,-32.035,-52.0986,40.95,61.0,5.0,19.82,BR,1627430557.0
424,abu dhabi,24.4667,54.3667,93.31,59.0,0.0,1.14,AE,1627430334.0
425,kieta,-6.2167,155.6333,82.49,76.0,97.0,2.8,PG,1627430259.0
426,akyab,20.15,92.9,81.32,84.0,100.0,14.03,MM,1627430560.0
427,inongo,-1.95,18.2667,68.34,46.0,7.0,3.49,CD,1627430562.0
428,khonuu,,,,,,,,
429,tungkang,,,,,,,,
430,tarauaca,-8.1614,-70.7656,79.57,64.0,94.0,1.32,BR,1627430565.0
431,halalo,,,,,,,,
432,hammerfest,70.6634,23.6821,46.45,93.0,22.0,6.06,NO,1627430568.0
433,palabuhanratu,,,,,,,,
434,one hundred mile house,,,,,,,,
435,ust-kamchatsk,,,,,,,,
436,dolbeau,,,,,,,,
437,turayf,31.6725,38.6637,79.05,47.0,0.0,9.22,SA,1627430348.0
438,roebourne,-20.7833,117.1333,70.84,66.0,11.0,5.3,AU,1627430575.0
439,marquette,46.5333,-87.6335,69.24,70.0,18.0,4.63,US,1627430576.0
440,lipari,38.4674,14.954,83.08,73.0,0.0,4.34,IT,1627430035.0
441,port lincoln,-34.7333,135.8667,54.25,63.0,7.0,26.33,AU,1627430362.0
442,vestmanna,62.1564,-7.1664,50.92,100.0,90.0,5.75,FO,1627430580.0
443,novouzensk,50.4592,48.1431,67.64,52.0,59.0,6.06,RU,1627430581.0
444,tamandare,-8.7597,-35.1047,74.25,87.0,17.0,6.49,BR,1627430582.0
445,bandiagara,14.3501,-3.6104,82.83,65.0,99.0,5.57,ML,1627430304.0
446,garango,11.8,-0.5506,75.87,82.0,100.0,5.14,BF,1627430585.0
447,sao filipe,14.8961,-24.4956,74.26,82.0,15.0,6.13,CV,1627430586.0
448,atbasar,51.8,68.3333,54.36,57.0,38.0,6.98,KZ,1627430587.0
449,macas,-2.3167,-78.1167,66.83,98.0,67.0,2.04,EC,1627430589.0
450,santo antonio do ica,-3.1022,-67.9397,78.3,79.0,79.0,1.74,BR,1627430590.0
451,tarasovskiy,48.7292,40.3636,68.02,48.0,41.0,2.73,RU,1627430591.0
452,kununurra,-15.7667,128.7333,75.18,73.0,7.0,0.0,AU,1627430426.0
453,sechenovo,55.2244,45.8906,56.8,79.0,56.0,3.6,RU,1627430594.0
454,lakes entrance,-37.8811,147.981,64.18,56.0,65.0,11.05,AU,1627430354.0
455,saint-georges,12.0564,-61.7485,79.45,79.0,23.0,11.86,GD,1627430489.0
456,jinchang,38.4953,102.1739,75.47,26.0,53.0,8.37,CN,1627430597.0
457,sokol,59.4617,40.1206,51.39,74.0,10.0,3.31,RU,1627430599.0
458,mackay,-21.15,149.2,74.05,62.0,60.0,0.81,AU,1627430600.0
459,basco,20.4487,121.9702,83.37,86.0,100.0,23.91,PH,1627430601.0
460,liepaja,56.5419,21.0367,69.85,94.0,68.0,6.91,LV,1627430603.0
461,san rafael,-34.6177,-68.3301,42.31,33.0,12.0,4.81,AR,1627430604.0
462,altay,47.8667,88.1167,63.36,64.0,0.0,0.49,CN,1627430605.0
463,katherine,-14.4667,132.2667,75.52,64.0,25.0,5.75,AU,1627430229.0
464,tupik,54.4253,119.9327,63.48,87.0,100.0,4.41,RU,1627430608.0
465,turochak,52.2576,87.1224,55.98,95.0,99.0,1.83,RU,1627430609.0
466,koumac,-20.5667,164.2833,73.35,53.0,0.0,3.49,NC,1627430610.0
467,bilibino,68.0546,166.4372,42.4,82.0,100.0,1.45,RU,1627430315.0
468,saint george,37.1041,-113.5841,97.79,25.0,64.0,1.01,US,1627430412.0
469,rolim de moura,,,,,,,,
470,asau,46.4333,26.4,70.39,73.0,37.0,5.7,RO,1627430615.0
471,victoria,22.2855,114.1577,90.97,87.0,98.0,1.01,HK,1627430265.0
472,sola,-13.8833,167.55,80.17,77.0,69.0,23.94,VU,1627430452.0
473,eenhana,-17.4667,16.3333,51.6,37.0,2.0,7.65,NA,1627430619.0
474,copiapo,-27.3667,-70.3333,56.75,58.0,0.0,0.72,CL,1627430620.0
475,avera,33.194,-82.5271,88.72,56.0,54.0,3.69,US,1627430621.0
476,dunedin,-45.8742,170.5036,53.8,52.0,11.0,11.99,NZ,1627430623.0
477,fez,34.0372,-4.9998,77.25,57.0,0.0,6.91,MA,1627430108.0
478,warqla,,,,,,,,
479,venice,27.0998,-82.4543,85.98,82.0,1.0,4.61,US,1627430624.0
480,gilgit,35.9221,74.3087,86.59,54.0,30.0,3.2,PK,1627430627.0
481,labuhan,-6.8844,112.2051,75.54,81.0,20.0,8.37,ID,1627430428.0
482,santa marta,11.2408,-74.199,79.99,87.0,90.0,4.27,CO,1627430630.0
483,gobabis,-22.45,18.9667,45.01,43.0,0.0,12.77,NA,1627430631.0
484,honiara,-9.4333,159.95,85.5,69.0,81.0,8.68,SB,1627430632.0
485,nelson bay,-32.7167,152.15,68.77,67.0,53.0,1.01,AU,1627430459.0
486,drovyanaya,51.5833,113.0333,56.71,89.0,30.0,1.21,RU,1627430635.0
487,shimoda,34.6667,138.95,88.11,76.0,98.0,10.76,JP,1627430623.0
488,kafue,-15.7691,28.1814,48.99,53.0,21.0,3.94,ZM,1627430441.0
489,slave lake,55.2834,-114.769,71.67,32.0,7.0,10.2,CA,1627430639.0
490,norilsk,69.3535,88.2027,65.5,84.0,94.0,5.35,RU,1627430640.0
491,ouegoa,-20.35,164.4333,74.28,53.0,1.0,14.41,NC,1627430478.0
492,troitsko-pechorsk,62.7084,56.1964,44.33,86.0,93.0,12.24,RU,1627430642.0
493,ugoofaaru,5.6667,73.0,82.45,76.0,59.0,13.62,MV,1627430644.0
494,hvittingfoss,59.4833,10.0167,65.82,64.0,100.0,1.01,NO,1627430645.0
495,tarut,26.5733,50.0369,93.42,49.0,18.0,2.95,SA,1627430646.0
496,teya,60.3778,92.6267,56.26,93.0,98.0,4.81,RU,1627430648.0
497,octeville,49.6261,-1.6435,60.93,88.0,75.0,16.11,FR,1627430649.0
498,buluang,13.3068,123.3425,82.35,82.0,100.0,13.33,PH,1627430650.0
499,oktyabrskoye,43.0645,44.7417,55.54,100.0,100.0,4.47,RU,1627430652.0
500,chunoyar,57.4467,97.3217,62.91,93.0,99.0,5.79,RU,1627430614.0
501,troitsk,54.0979,61.5773,56.98,81.0,93.0,4.12,RU,1627430654.0
502,shache,38.4167,77.2406,81.75,27.0,75.0,9.42,CN,1627430517.0
503,keti bandar,24.1447,67.4497,82.51,83.0,100.0,20.8,PK,1627430657.0
504,los llanos de aridane,28.6585,-17.9182,69.55,89.0,75.0,18.41,ES,1627430502.0
505,kerki,,,,,,,,
506,ostrovnoy,68.0531,39.5131,49.37,84.0,67.0,4.68,RU,1627430350.0
507,dalbandin,28.8947,64.4101,88.97,16.0,93.0,8.55,PK,1627430661.0
508,port-gentil,-0.7193,8.7815,75.65,80.0,71.0,9.06,GA,1627430663.0
509,tuggurt,,,,,,,,
510,iracoubo,5.4802,-53.2011,78.91,82.0,7.0,8.88,GF,1627430665.0
511,san jose de rio tinto,14.9333,-85.7,73.44,93.0,92.0,4.74,HN,1627430668.0
512,penzance,50.1186,-5.5371,60.01,81.0,1.0,18.48,GB,1627430669.0
513,kuche,,,,,,,,
514,forecariah,9.4306,-13.0881,74.75,96.0,98.0,2.04,GN,1627430671.0
515,manoel urbano,-8.8389,-69.2597,80.82,59.0,97.0,2.13,BR,1627430673.0
516,januaria,-15.4833,-44.3667,70.86,39.0,46.0,2.59,BR,1627430674.0
517,sorong,-0.8833,131.25,82.08,79.0,88.0,7.52,ID,1627430213.0
518,fernley,39.608,-119.2518,91.04,25.0,69.0,7.74,US,1627430410.0
519,cayenne,4.9333,-52.3333,82.09,84.0,40.0,4.0,GF,1627430291.0
520,labuan,5.2767,115.2417,82.17,80.0,74.0,10.76,MY,1627430679.0
521,kerman,30.2832,57.0788,76.75,18.0,51.0,3.87,IR,1627430442.0
522,pocatello,42.8713,-112.4455,93.47,30.0,76.0,7.0,US,1627430382.0
523,myitkyina,25.3833,97.4,75.42,100.0,98.0,1.01,MM,1627430682.0
524,lolua,,,,,,,,
525,wilmington,34.2257,-77.9447,82.98,85.0,99.0,1.01,US,1627430297.0
526,ihosy,-22.4,46.1167,51.17,93.0,17.0,8.68,MG,1627430686.0
527,kodinsk,58.6881,99.1844,67.89,84.0,100.0,4.59,RU,1627430687.0
528,broome,42.2506,-75.833,70.56,96.0,90.0,1.99,US,1627430689.0
529,cerrito,6.8432,-72.694,53.04,93.0,83.0,5.68,CO,1627430440.0
530,mentok,,,,,,,,
531,cockburn town,21.4612,-71.1419,81.97,75.0,47.0,17.4,TC,1627430692.0
532,mitsamiouli,-11.3847,43.2844,75.51,70.0,10.0,4.83,KM,1627430694.0
533,shelburne,44.0787,-80.2041,72.73,67.0,55.0,5.17,CA,1627430413.0
534,bouna,9.2667,-3.0,74.34,79.0,99.0,6.24,CI,1627430696.0
535,dumas,35.8656,-101.9732,96.22,29.0,1.0,8.05,US,1627430697.0
536,marseille,43.3333,5.5,70.86,56.0,36.0,0.69,FR,1627430699.0
537,kailua,21.4022,-157.7394,86.07,68.0,73.0,18.34,US,1627430588.0
538,hoa binh,20.8133,105.3383,84.09,84.0,82.0,2.68,VN,1627430701.0
539,pittem,51.0015,3.2636,62.98,94.0,52.0,1.99,BE,1627430703.0
540,cairns,-16.9167,145.7667,77.11,70.0,75.0,5.75,AU,1627430417.0
541,udachnyy,66.4167,112.4,80.31,46.0,75.0,7.0,RU,1627430706.0
542,nouadhibou,20.931,-17.0347,68.7,89.0,4.0,23.73,MR,1627430557.0
543,hailar,49.2,119.7,68.09,72.0,2.0,7.92,CN,1627430708.0
544,santa cruz de la palma,28.6835,-17.7642,73.54,73.0,75.0,18.41,ES,1627430709.0
545,trat,12.5,102.5,76.82,96.0,100.0,3.0,TH,1627430448.0
546,shchors,51.8186,31.945,65.1,82.0,98.0,10.36,UA,1627430712.0
547,dali,25.7,100.1833,64.89,88.0,97.0,0.58,CN,1627430506.0
548,djibo,14.1022,-1.6306,85.62,57.0,100.0,6.71,BF,1627430714.0
549,kiknur,57.3034,47.2011,48.54,82.0,2.0,0.89,RU,1627430715.0
550,hvide sande,56.0045,8.1294,63.0,89.0,79.0,12.24,DK,1627430494.0
551,anori,-3.7728,-61.6442,78.39,61.0,23.0,2.93,BR,1627430718.0
552,ketchikan,55.3422,-131.6461,62.62,69.0,50.0,4.41,US,1627430222.0
553,kiama,-34.6833,150.8667,68.25,40.0,75.0,8.01,AU,1627430720.0
554,dandong,40.1292,124.3947,82.71,74.0,91.0,3.58,CN,1627430573.0
555,nishihara,26.1842,127.7558,83.48,84.0,75.0,11.5,JP,1627430562.0
556,santiago,-33.4569,-70.6483,53.85,50.0,0.0,1.72,CL,1627430487.0
557,sao joao do piaui,-8.3581,-42.2467,77.65,46.0,10.0,5.41,BR,1627430725.0
558,tawnat,,,,,,,,
559,isiro,2.7739,27.616,64.63,99.0,95.0,1.07,CD,1627430727.0
560,limbazi,57.5129,24.7194,65.03,99.0,93.0,4.85,LV,1627430729.0
561,caravelas,-17.7125,-39.2481,72.79,84.0,2.0,9.71,BR,1627430443.0
562,saint-pierre,-21.3393,55.4781,65.88,86.0,90.0,14.97,RE,1627430731.0
563,charcas,23.1333,-101.1167,72.18,45.0,61.0,17.0,MX,1627430733.0
564,namibe,-15.1961,12.1522,65.39,81.0,47.0,0.58,AO,1627430679.0
565,krasnouralsk,58.3638,60.0407,44.08,82.0,56.0,7.25,RU,1627430735.0
566,upata,8.0086,-62.3989,71.49,97.0,100.0,4.56,VE,1627430736.0
567,san ignacio,17.1561,-89.0714,95.14,52.0,20.0,0.0,BZ,1627430738.0
568,sucua,-2.4667,-78.1667,67.78,98.0,68.0,2.46,EC,1627430739.0
569,burnie,-41.0667,145.9167,51.93,83.0,91.0,20.87,AU,1627429939.0
570,tuy hoa,13.0833,109.3,85.01,66.0,100.0,16.35,VN,1627430741.0
571,savonlinna,61.8699,28.88,63.25,94.0,0.0,2.3,FI,1627430743.0
572,odweyne,9.4092,45.064,68.95,64.0,100.0,18.54,SO,1627430744.0
573,ereymentau,51.6199,73.1033,52.83,56.0,13.0,5.06,KZ,1627430745.0
574,toora-khem,52.4675,96.11,59.74,97.0,80.0,1.99,RU,1627430747.0
575,kattivakkam,13.2167,80.3167,84.29,62.0,100.0,14.94,IN,1627430586.0
576,jumla,29.2747,82.1838,64.74,96.0,97.0,0.81,NP,1627430485.0
577,sayabec,,,,,,,,
578,comodoro rivadavia,-45.8667,-67.5,40.86,81.0,0.0,3.44,AR,1627430319.0
579,port macquarie,-31.4333,152.9167,66.88,43.0,5.0,9.26,AU,1627430733.0
580,pacifica,37.6138,-122.4869,96.39,75.0,25.0,1.99,US,1627430509.0
581,porto novo,6.4965,2.6036,75.97,80.0,100.0,8.05,BJ,1627430755.0
582,shetpe,44.1667,52.1167,75.22,25.0,90.0,19.75,KZ,1627430756.0
583,quatre cocos,-20.2078,57.7625,69.1,89.0,96.0,15.64,MU,1627430194.0
584,chapais,49.7834,-74.8492,55.72,56.0,100.0,4.94,CA,1627430759.0
585,lundazi,-12.2929,33.1782,52.88,66.0,28.0,9.06,ZM,1627430760.0
586,ust-karsk,52.7011,118.8077,64.45,95.0,95.0,2.73,RU,1627430761.0
587,tahe,52.3333,124.7333,63.84,99.0,100.0,1.48,CN,1627430763.0
588,asmar,35.0333,71.3581,83.53,79.0,42.0,1.16,AF,1627430764.0
